;voter_id;voter_reg_num;name_prefix;first_name;middle_name;last_name;name_suffix;age;gender;race;ethnic;street_address;city;state;zip_code;full_phone_num;birth_place;register_date;download_month
obj447-obj456;0;1;0;0;1;0;0;1;0;1;1;0;0;1;0;0;0;1;1;
obj450-obj469;0;1;0;0;0;0;0;1;1;1;0;0;0;1;0;0;0;1;1;
obj451-obj467;0;1;0;1;0;0;0;0;1;1;0;0;0;1;0;0;1;1;1;
obj452-obj469;0;1;0;0;0;0;0;0;0;1;0;0;1;1;0;0;1;1;1;
obj469-obj472;0;0;0;0;0;0;0;1;1;1;0;0;0;1;0;0;1;1;1;
obj470-obj476;0;1;0;0;0;1;0;0;1;1;1;0;0;1;0;0;1;1;1;
obj470-obj499;0;0;0;1;0;0;0;1;1;1;0;0;0;1;0;0;1;0;1;
obj478-obj480;0;0;0;1;1;1;0;0;1;1;0;0;0;1;0;0;0;1;0;
obj485-obj499;0;0;0;1;0;0;0;0;1;1;0;0;1;1;0;0;1;1;0;
obj500-obj500;1;1;0;1;1;1;0;1;1;1;1;1;1;1;1;0;0;1;1;
